"Resultaat(win/lose)","Aantal zetten","Tijdsduur(ms)","Winrate(%)"
"LOST","53","2182","0"
"WON","51","2116","50"
"LOST","47","2057","33"
"LOST","46","2018","25"
"LOST","61","2373","20"
"LOST","57","2289","17"
"LOST","55","2227","14"
"WON","46","2020","25"
"WON","60","2315","33"
"WON","51","2116","40"
"LOST","34","1754","36"
"LOST","45","2006","33"
"WON","33","1718","38"
"LOST","50","2133","36"
"WON","47","2040","40"
"WON","51","2118","44"
"WON","51","2127","47"
"WON","45","1996","50"
"WON","58","2271","53"
"WON","48","2050","55"
"LOST","48","2063","52"
"WON","42","1920","55"
"WON","45","1993","57"
"WON","49","2082","58"
"LOST","49","2093","56"
